"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"282","1995","平成","7","2","13~14","窒素酸化物低減装置のミキシングユニット用ステージの設置作業中、吊り足場上から6.8m下のコンクリート床に墜落した。","3","建設業","303","その他の建設業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"283","1995","平成","7","2","14~15","帰社途中、県道左側斜面に乗り上げ横転した。","4","運輸交通業","403","道路貨物運送業","","","50~99","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"284","1995","平成","7","2","14~15","かかり木を処理するためかかられた松を伐倒したところ、退避方向に倒れ、かかり木の下敷きになった。","6","農林業","601","農業","","","1~9","7","環境等","71","環境等","","","4","飛来、落下"
"285","1995","平成","7","2","16~17","木造平屋新築現場の高さ7mの梁上で小屋梁を取り付ける作業中、墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"286","1995","平成","7","2","17~18","伐採作業中、倒木(径14センチメートル、長さ約7m)の下敷きになった。","17","その他の事業","","","","","10~29","7","環境等","71","環境等","","","4","飛来、落下"
"287","1995","平成","7","2","8~9","6600Vの高圧受電設備の作動検査中、携帯用試験器のリード線を繋ごうとした際、左肩が高圧線に接触した。","17","その他の事業","","","","","50~99","3","その他の装置等","35","電気設備","","","13","感電"
"288","1995","平成","7","2","16~17","FRP製屋根の取付作業中、仮置き状態の屋根に乗り、墜落した。","3","建設業","303","その他の建設業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"289","1995","平成","7","2","22~23","駅構内で線路の切替工事中、分岐器に施錠するための金具を取り付けていたところ、入替車両に轢かれた。","3","建設業","301","土木工事業","","","1~9","2","物上げ装置、運搬機械","23","乗物","","","18","交通事故（その他）"
"290","1995","平成","7","2","7~8","鉄道橋桁修繕工事において、軌道内で工事の下見中、電車にはねられた。","3","建設業","301","土木工事業","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","18","交通事故（その他）"
"291","1995","平成","7","2","9~10","水路工事現場において型枠を外す準備作業中、隣接する高さ約2.5mの地山が崩壊した。","3","建設業","301","土木工事業","","","1~9","7","環境等","71","環境等","","","5","崩壊、倒壊"
